[2025-03-14 21:37:07,479] [INFO] - G_C_ID = 1030030-14933从表数据共 9 条
[2025-03-14 21:37:07,507] [INFO] - G_C_ID = 1030030-14933从表SUM数据共 1 条
[2025-03-14 21:37:07,602] [INFO] - G_C_ID = 1030036-14935从表数据共 3 条
[2025-03-14 21:37:07,611] [INFO] - G_C_ID = 1030036-14935从表SUM数据共 1 条
[2025-03-14 21:37:07,703] [INFO] - G_C_ID = 1029612-14907从表数据共 3 条
[2025-03-14 21:37:07,711] [INFO] - G_C_ID = 1029612-14907从表SUM数据共 1 条
[2025-03-14 21:37:07,802] [INFO] - G_C_ID = 1029615-14910从表数据共 3 条
[2025-03-14 21:37:07,811] [INFO] - G_C_ID = 1029615-14910从表SUM数据共 1 条
[2025-03-14 21:37:07,902] [INFO] - G_C_ID = 1029644-14925从表数据共 2 条
[2025-03-14 21:37:07,910] [INFO] - G_C_ID = 1029644-14925从表SUM数据共 1 条
[2025-03-14 21:37:08,013] [INFO] - G_C_ID = 1029643-14924从表数据共 3 条
[2025-03-14 21:37:08,021] [INFO] - G_C_ID = 1029643-14924从表SUM数据共 1 条
[2025-03-14 21:37:08,113] [INFO] - G_C_ID = 1029859-14927从表数据共 10 条
[2025-03-14 21:37:08,130] [INFO] - G_C_ID = 1029859-14927从表SUM数据共 1 条
[2025-03-14 21:37:08,231] [WARN] - G_C_ID = 1030013-14929 没有对应的从表数据
[2025-03-14 21:37:08,232] [INFO] - G_C_ID = 1030013-14929从表SUM数据共 1 条
[2025-03-14 21:37:08,328] [INFO] - G_C_ID = 1029625-14918从表数据共 3 条
[2025-03-14 21:37:08,336] [INFO] - G_C_ID = 1029625-14918从表SUM数据共 1 条
[2025-03-14 21:37:08,430] [WARN] - G_C_ID = 1030023-14931 没有对应的从表数据
[2025-03-14 21:37:08,430] [INFO] - G_C_ID = 1030023-14931从表SUM数据共 1 条
[2025-03-14 21:37:08,525] [INFO] - G_C_ID = 1029624-14917从表数据共 3 条
[2025-03-14 21:37:08,534] [INFO] - G_C_ID = 1029624-14917从表SUM数据共 1 条
[2025-03-14 21:37:08,629] [INFO] - G_C_ID = 1029399-14896从表数据共 3 条
[2025-03-14 21:37:08,638] [INFO] - G_C_ID = 1029399-14896从表SUM数据共 1 条
[2025-03-14 21:37:08,731] [INFO] - G_C_ID = 1029614-14909从表数据共 4 条
[2025-03-14 21:37:08,740] [INFO] - G_C_ID = 1029614-14909从表SUM数据共 1 条
[2025-03-14 21:37:08,835] [INFO] - G_C_ID = 1029611-14906从表数据共 3 条
[2025-03-14 21:37:08,843] [INFO] - G_C_ID = 1029611-14906从表SUM数据共 1 条
[2025-03-14 21:37:08,938] [INFO] - G_C_ID = 1029609-14904从表数据共 3 条
[2025-03-14 21:37:08,947] [INFO] - G_C_ID = 1029609-14904从表SUM数据共 1 条
[2025-03-14 21:37:09,040] [INFO] - G_C_ID = 1029610-14905从表数据共 3 条
[2025-03-14 21:37:09,049] [INFO] - G_C_ID = 1029610-14905从表SUM数据共 1 条
[2025-03-14 21:37:09,142] [INFO] - G_C_ID = 1029398-14895从表数据共 3 条
[2025-03-14 21:37:09,160] [INFO] - G_C_ID = 1029398-14895从表SUM数据共 1 条
[2025-03-14 21:37:09,254] [WARN] - G_C_ID = 1030037-14936 没有对应的从表数据
[2025-03-14 21:37:09,255] [INFO] - G_C_ID = 1030037-14936从表SUM数据共 1 条
[2025-03-14 21:37:09,357] [INFO] - G_C_ID = 1030026-14932从表数据共 12 条
[2025-03-14 21:37:09,392] [INFO] - G_C_ID = 1030026-14932从表SUM数据共 1 条
[2025-03-14 21:37:09,485] [WARN] - G_C_ID = 1030020-14930 没有对应的从表数据
[2025-03-14 21:37:09,485] [INFO] - G_C_ID = 1030020-14930从表SUM数据共 1 条
[2025-03-14 21:37:09,593] [INFO] - G_C_ID = 1029637-14923从表数据共 3 条
[2025-03-14 21:37:09,606] [INFO] - G_C_ID = 1029637-14923从表SUM数据共 1 条
[2025-03-14 21:37:09,706] [INFO] - G_C_ID = 1029607-14902从表数据共 3 条
[2025-03-14 21:37:09,717] [INFO] - G_C_ID = 1029607-14902从表SUM数据共 1 条
[2025-03-14 21:37:09,810] [INFO] - G_C_ID = 1029601-14898从表数据共 3 条
[2025-03-14 21:37:09,818] [INFO] - G_C_ID = 1029601-14898从表SUM数据共 1 条
